id	xlink_label	xlink_role	xlink_type	xml_lang	label
label_NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading	label_NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－会計方針の変更
label_NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－会計方針の変更、連結財務諸表（IFRS） [目次項目]
label_NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－会計方針の変更
label_NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－会計方針の変更、連結財務諸表（IFRS） [テキストブロック]
label_NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSHeading	label_NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－重要な会計上の見積り及び判断
label_NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSHeading_2	label_NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－重要な会計上の見積り及び判断、連結財務諸表（IFRS） [目次項目]
label_NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSTextBlock	label_NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－重要な会計上の見積り及び判断
label_NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－重要な会計上の見積り及び判断、連結財務諸表（IFRS） [テキストブロック]
label_NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSHeading	label_NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－未適用の新基準
label_NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSHeading_2	label_NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－未適用の新基準、連結財務諸表（IFRS） [目次項目]
label_NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSTextBlock	label_NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－未適用の新基準
label_NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－未適用の新基準、連結財務諸表（IFRS） [テキストブロック]
label_NotesSegmentInformationConsolidatedFinancialStatementsIFRSHeading	label_NotesSegmentInformationConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－セグメント情報
label_NotesSegmentInformationConsolidatedFinancialStatementsIFRSHeading_2	label_NotesSegmentInformationConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－セグメント情報、連結財務諸表（IFRS） [目次項目]
label_NotesSegmentInformationConsolidatedFinancialStatementsIFRSTextBlock	label_NotesSegmentInformationConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－セグメント情報
label_NotesSegmentInformationConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesSegmentInformationConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－セグメント情報、連結財務諸表（IFRS） [テキストブロック]
label_NotesGroupEntitiesConsolidatedFinancialStatementsIFRSHeading	label_NotesGroupEntitiesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－グループ企業
label_NotesGroupEntitiesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesGroupEntitiesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－グループ企業、連結財務諸表（IFRS） [目次項目]
label_NotesGroupEntitiesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesGroupEntitiesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－グループ企業
label_NotesGroupEntitiesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesGroupEntitiesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－グループ企業、連結財務諸表（IFRS） [テキストブロック]
label_NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSHeading	label_NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－子会社及び関連会社
label_NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－子会社及び関連会社、連結財務諸表（IFRS） [目次項目]
label_NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－子会社及び関連会社
label_NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－子会社及び関連会社、連結財務諸表（IFRS） [テキストブロック]
label_NotesSubsidiariesConsolidatedFinancialStatementsIFRSHeading	label_NotesSubsidiariesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－子会社
label_NotesSubsidiariesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesSubsidiariesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－子会社、連結財務諸表（IFRS） [目次項目]
label_NotesSubsidiariesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesSubsidiariesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－子会社
label_NotesSubsidiariesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesSubsidiariesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－子会社、連結財務諸表（IFRS） [テキストブロック]
label_NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSHeading	label_NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－関連会社及びジョイント・ベンチャー
label_NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－関連会社及びジョイント・ベンチャー、連結財務諸表（IFRS） [目次項目]
label_NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－関連会社及びジョイント・ベンチャー
label_NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－関連会社及びジョイント・ベンチャー、連結財務諸表（IFRS） [テキストブロック]
label_NotesAssociatesConsolidatedFinancialStatementsIFRSHeading	label_NotesAssociatesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－関連会社
label_NotesAssociatesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesAssociatesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－関連会社、連結財務諸表（IFRS） [目次項目]
label_NotesAssociatesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesAssociatesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－関連会社
label_NotesAssociatesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesAssociatesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－関連会社、連結財務諸表（IFRS） [テキストブロック]
label_NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSHeading	label_NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－他の企業への関与
label_NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－他の企業への関与、連結財務諸表（IFRS） [目次項目]
label_NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－他の企業への関与
label_NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－他の企業への関与、連結財務諸表（IFRS） [テキストブロック]
label_NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSHeading	label_NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－企業結合
label_NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSHeading_2	label_NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－企業結合、連結財務諸表（IFRS） [目次項目]
label_NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSTextBlock	label_NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－企業結合
label_NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesBusinessCombinationsConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－企業結合、連結財務諸表（IFRS） [テキストブロック]
label_NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSHeading	label_NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－ストラクチャード・エンティティ
label_NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－ストラクチャード・エンティティ、連結財務諸表（IFRS） [目次項目]
label_NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－ストラクチャード・エンティティ
label_NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesStructuredEntitiesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－ストラクチャード・エンティティ、連結財務諸表（IFRS） [テキストブロック]
label_NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSHeading	label_NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－現金及び現金同等物
label_NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSHeading_2	label_NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－現金及び現金同等物、連結財務諸表（IFRS） [目次項目]
label_NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSTextBlock	label_NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－現金及び現金同等物
label_NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesCashAndCashEquivalentsConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－現金及び現金同等物、連結財務諸表（IFRS） [テキストブロック]
label_NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSHeading	label_NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－営業債権及びその他の債権
label_NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－営業債権及びその他の債権、連結財務諸表（IFRS） [目次項目]
label_NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－営業債権及びその他の債権
