id	xlink_label	xlink_role	xlink_type	xml_lang	label
label_CurrentAssets_2	label_CurrentAssets_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	流動資産
label_CurrentAssets_3	label_CurrentAssets_3	http://www.xbrl.org/2003/role/totalLabel	resource	ja	流動資産合計
label_CurrentAssets_4	label_CurrentAssets_4	http://disclosure.edinet-fsa.go.jp/jppfs/ivt/role/totalLabel	resource	ja	流動資産計
label_CurrentAssets_5	label_CurrentAssets_5	http://disclosure.edinet-fsa.go.jp/jppfs/sec/role/totalLabel	resource	ja	流動資産計
label_NoncurrentAssetsAbstract	label_NoncurrentAssetsAbstract	http://www.xbrl.org/2003/role/label	resource	ja	固定資産
label_NoncurrentAssetsAbstract_2	label_NoncurrentAssetsAbstract_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	固定資産 [タイトル項目]
label_PropertyPlantAndEquipmentAbstract	label_PropertyPlantAndEquipmentAbstract	http://www.xbrl.org/2003/role/label	resource	ja	有形固定資産
label_PropertyPlantAndEquipmentAbstract_2	label_PropertyPlantAndEquipmentAbstract_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	有形固定資産 [タイトル項目]
label_PropertyPlantAndEquipmentAbstract_3	label_PropertyPlantAndEquipmentAbstract_3	http://disclosure.edinet-fsa.go.jp/jppfs/bnk/role/label	resource	ja	有形固定資産
label_BuildingsAndStructures	label_BuildingsAndStructures	http://www.xbrl.org/2003/role/label	resource	ja	建物及び構築物
label_BuildingsAndStructures_2	label_BuildingsAndStructures_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	建物及び構築物
label_BuildingsAndStructures_3	label_BuildingsAndStructures_3	http://disclosure.edinet-fsa.go.jp/jppfs/cns/role/label	resource	ja	建物・構築物
label_AccumulatedDepreciationBuildingsAndStructures	label_AccumulatedDepreciationBuildingsAndStructures	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額
label_AccumulatedDepreciationBuildingsAndStructures_2	label_AccumulatedDepreciationBuildingsAndStructures_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額、建物及び構築物
label_AccumulatedImpairmentLossBuildingsAndStructures	label_AccumulatedImpairmentLossBuildingsAndStructures	http://www.xbrl.org/2003/role/label	resource	ja	減損損失累計額
label_AccumulatedImpairmentLossBuildingsAndStructures_2	label_AccumulatedImpairmentLossBuildingsAndStructures_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減損損失累計額、建物及び構築物
label_AccumulatedDepreciationAndImpairmentLossBuildingsAndStructures	label_AccumulatedDepreciationAndImpairmentLossBuildingsAndStructures	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額及び減損損失累計額
label_AccumulatedDepreciationAndImpairmentLossBuildingsAndStructures_2	label_AccumulatedDepreciationAndImpairmentLossBuildingsAndStructures_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額及び減損損失累計額、建物及び構築物
label_BuildingsAndStructuresNet	label_BuildingsAndStructuresNet	http://www.xbrl.org/2003/role/label	resource	ja	建物及び構築物（純額）
label_BuildingsAndStructuresNet_2	label_BuildingsAndStructuresNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	建物及び構築物（純額）
label_BuildingsAndStructuresNet_3	label_BuildingsAndStructuresNet_3	http://disclosure.edinet-fsa.go.jp/jppfs/cns/role/label	resource	ja	建物・構築物（純額）
label_MachineryEquipmentAndVehicles	label_MachineryEquipmentAndVehicles	http://www.xbrl.org/2003/role/label	resource	ja	機械装置及び運搬具
label_MachineryEquipmentAndVehicles_2	label_MachineryEquipmentAndVehicles_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	機械装置及び運搬具
label_MachineryEquipmentAndVehicles_3	label_MachineryEquipmentAndVehicles_3	http://disclosure.edinet-fsa.go.jp/jppfs/cns/role/label	resource	ja	機械・運搬具
label_AccumulatedDepreciationMachineryEquipmentAndVehicles	label_AccumulatedDepreciationMachineryEquipmentAndVehicles	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額
label_AccumulatedDepreciationMachineryEquipmentAndVehicles_2	label_AccumulatedDepreciationMachineryEquipmentAndVehicles_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額、機械装置及び運搬具
label_AccumulatedImpairmentLossMachineryEquipmentAndVehicles	label_AccumulatedImpairmentLossMachineryEquipmentAndVehicles	http://www.xbrl.org/2003/role/label	resource	ja	減損損失累計額
label_AccumulatedImpairmentLossMachineryEquipmentAndVehicles_2	label_AccumulatedImpairmentLossMachineryEquipmentAndVehicles_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減損損失累計額、機械装置及び運搬具
label_AccumulatedDepreciationAndImpairmentLossMachineryEquipmentAndVehicles	label_AccumulatedDepreciationAndImpairmentLossMachineryEquipmentAndVehicles	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額及び減損損失累計額
label_AccumulatedDepreciationAndImpairmentLossMachineryEquipmentAndVehicles_2	label_AccumulatedDepreciationAndImpairmentLossMachineryEquipmentAndVehicles_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額及び減損損失累計額、機械装置及び運搬具
label_MachineryEquipmentAndVehiclesNet	label_MachineryEquipmentAndVehiclesNet	http://www.xbrl.org/2003/role/label	resource	ja	機械装置及び運搬具（純額）
label_MachineryEquipmentAndVehiclesNet_2	label_MachineryEquipmentAndVehiclesNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	機械装置及び運搬具（純額）
label_MachineryEquipmentAndVehiclesNet_3	label_MachineryEquipmentAndVehiclesNet_3	http://disclosure.edinet-fsa.go.jp/jppfs/cns/role/label	resource	ja	機械・運搬具（純額）
label_Buildings	label_Buildings	http://www.xbrl.org/2003/role/label	resource	ja	建物
label_Buildings_2	label_Buildings_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	建物
label_Buildings_3	label_Buildings_3	http://disclosure.edinet-fsa.go.jp/jppfs/liq/role/label	resource	ja	建物及び附属設備
label_AccumulatedDepreciationBuildings	label_AccumulatedDepreciationBuildings	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額
label_AccumulatedDepreciationBuildings_2	label_AccumulatedDepreciationBuildings_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額、建物
label_AccumulatedImpairmentLossBuildings	label_AccumulatedImpairmentLossBuildings	http://www.xbrl.org/2003/role/label	resource	ja	減損損失累計額
label_AccumulatedImpairmentLossBuildings_2	label_AccumulatedImpairmentLossBuildings_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減損損失累計額、建物
label_AccumulatedDepreciationAndImpairmentLossBuildings	label_AccumulatedDepreciationAndImpairmentLossBuildings	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額及び減損損失累計額
label_AccumulatedDepreciationAndImpairmentLossBuildings_2	label_AccumulatedDepreciationAndImpairmentLossBuildings_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額及び減損損失累計額、建物
label_BuildingsNet	label_BuildingsNet	http://www.xbrl.org/2003/role/label	resource	ja	建物（純額）
label_BuildingsNet_2	label_BuildingsNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	建物（純額）
label_BuildingsNet_3	label_BuildingsNet_3	http://disclosure.edinet-fsa.go.jp/jppfs/bnk/role/label	resource	ja	建物
label_BuildingsNet_4	label_BuildingsNet_4	http://disclosure.edinet-fsa.go.jp/jppfs/ins/role/label	resource	ja	建物
label_BuildingsNet_5	label_BuildingsNet_5	http://disclosure.edinet-fsa.go.jp/jppfs/ivt/role/label	resource	ja	建物
label_BuildingsNet_6	label_BuildingsNet_6	http://disclosure.edinet-fsa.go.jp/jppfs/sec/role/label	resource	ja	建物
label_BuildingsNet_7	label_BuildingsNet_7	http://disclosure.edinet-fsa.go.jp/jppfs/liq/role/label	resource	ja	建物及び附属設備（純額）
label_Structures	label_Structures	http://www.xbrl.org/2003/role/label	resource	ja	構築物
label_Structures_2	label_Structures_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	構築物
label_AccumulatedDepreciationStructures	label_AccumulatedDepreciationStructures	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額
label_AccumulatedDepreciationStructures_2	label_AccumulatedDepreciationStructures_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額、構築物
label_AccumulatedImpairmentLossStructures	label_AccumulatedImpairmentLossStructures	http://www.xbrl.org/2003/role/label	resource	ja	減損損失累計額
label_AccumulatedImpairmentLossStructures_2	label_AccumulatedImpairmentLossStructures_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減損損失累計額、構築物
label_AccumulatedDepreciationAndImpairmentLossStructures	label_AccumulatedDepreciationAndImpairmentLossStructures	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額及び減損損失累計額
label_AccumulatedDepreciationAndImpairmentLossStructures_2	label_AccumulatedDepreciationAndImpairmentLossStructures_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額及び減損損失累計額、構築物
label_StructuresNet	label_StructuresNet	http://www.xbrl.org/2003/role/label	resource	ja	構築物（純額）
label_StructuresNet_2	label_StructuresNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	構築物（純額）
label_MachineryAndEquipment	label_MachineryAndEquipment	http://www.xbrl.org/2003/role/label	resource	ja	機械及び装置
label_MachineryAndEquipment_2	label_MachineryAndEquipment_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	機械及び装置
label_AccumulatedDepreciationMachineryAndEquipment	label_AccumulatedDepreciationMachineryAndEquipment	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額
label_AccumulatedDepreciationMachineryAndEquipment_2	label_AccumulatedDepreciationMachineryAndEquipment_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額、機械及び装置
label_AccumulatedImpairmentLossMachineryAndEquipment	label_AccumulatedImpairmentLossMachineryAndEquipment	http://www.xbrl.org/2003/role/label	resource	ja	減損損失累計額
label_AccumulatedImpairmentLossMachineryAndEquipment_2	label_AccumulatedImpairmentLossMachineryAndEquipment_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減損損失累計額、機械及び装置
label_AccumulatedDepreciationAndImpairmentLossMachineryAndEquipment	label_AccumulatedDepreciationAndImpairmentLossMachineryAndEquipment	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額及び減損損失累計額
label_AccumulatedDepreciationAndImpairmentLossMachineryAndEquipment_2	label_AccumulatedDepreciationAndImpairmentLossMachineryAndEquipment_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額及び減損損失累計額、機械及び装置
label_MachineryAndEquipmentNet	label_MachineryAndEquipmentNet	http://www.xbrl.org/2003/role/label	resource	ja	機械及び装置（純額）
label_MachineryAndEquipmentNet_2	label_MachineryAndEquipmentNet_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	機械及び装置（純額）
label_Vessels	label_Vessels	http://www.xbrl.org/2003/role/label	resource	ja	船舶
label_Vessels_2	label_Vessels_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	船舶
label_AccumulatedDepreciationVessels	label_AccumulatedDepreciationVessels	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額
label_AccumulatedDepreciationVessels_2	label_AccumulatedDepreciationVessels_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額、船舶
label_AccumulatedImpairmentLossVessels	label_AccumulatedImpairmentLossVessels	http://www.xbrl.org/2003/role/label	resource	ja	減損損失累計額
label_AccumulatedImpairmentLossVessels_2	label_AccumulatedImpairmentLossVessels_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減損損失累計額、船舶
label_AccumulatedDepreciationAndImpairmentLossVessels	label_AccumulatedDepreciationAndImpairmentLossVessels	http://www.xbrl.org/2003/role/label	resource	ja	減価償却累計額及び減損損失累計額
label_AccumulatedDepreciationAndImpairmentLossVessels_2	label_AccumulatedDepreciationAndImpairmentLossVessels_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	減価償却累計額及び減損損失累計額、船舶
